timestamp,main_meter(kW),PV_battery_system(kW)
2021-01-01 00:00:00+00:00,69.0,15.0
2021-01-01 00:05:00+00:00,76.0,15.0
2021-01-01 00:10:00+00:00,80.0,15.0
2021-01-01 00:15:00+00:00,74.0,15.0
2021-01-01 00:20:00+00:00,64.0,15.0
2021-01-01 00:25:00+00:00,61.0,15.0
2021-01-01 00:30:00+00:00,57.0,15.0
2021-01-01 00:35:00+00:00,74.0,15.0
2021-01-01 00:40:00+00:00,60.0,15.0
2021-01-01 00:45:00+00:00,68.0,15.0
2021-01-01 00:50:00+00:00,71.0,15.0
2021-01-01 00:55:00+00:00,86.0,15.0
2021-01-01 01:00:00+00:00,71.0,15.0
2021-01-01 01:05:00+00:00,70.0,15.0
2021-01-01 01:10:00+00:00,69.0,15.0
2021-01-01 01:15:00+00:00,70.0,15.0
2021-01-01 01:20:00+00:00,77.0,15.0
2021-01-01 01:25:00+00:00,73.0,15.0
2021-01-01 01:30:00+00:00,78.0,15.0
2021-01-01 01:35:00+00:00,74.0,15.0
2021-01-01 01:40:00+00:00,81.0,15.0
2021-01-01 01:45:00+00:00,73.0,15.0
2021-01-01 01:50:00+00:00,75.0,15.0
2021-01-01 01:55:00+00:00,78.0,15.0
2021-01-01 02:00:00+00:00,83.0,15.0
2021-01-01 02:05:00+00:00,78.0,15.0
2021-01-01 02:10:00+00:00,74.0,15.0
2021-01-01 02:15:00+00:00,75.0,15.0
2021-01-01 02:20:00+00:00,77.0,15.0
2021-01-01 02:25:00+00:00,96.0,15.0
2021-01-01 02:30:00+00:00,97.0,15.0
2021-01-01 02:35:00+00:00,72.0,15.0
2021-01-01 02:40:00+00:00,72.0,15.0
2021-01-01 02:45:00+00:00,73.0,15.0
2021-01-01 02:50:00+00:00,66.0,15.0
2021-01-01 02:55:00+00:00,66.0,15.0
2021-01-01 03:00:00+00:00,68.0,15.0
2021-01-01 03:05:00+00:00,80.0,15.0
2021-01-01 03:10:00+00:00,88.0,15.0
2021-01-01 03:15:00+00:00,72.0,15.0
2021-01-01 03:20:00+00:00,75.0,15.0
2021-01-01 03:25:00+00:00,73.0,15.0
2021-01-01 03:30:00+00:00,79.0,15.0
